image_name,count,img_size
tacc/tapisv3-cli:latest,2808,948683256
yakuo0602/tacc-ubuntu-champ-ncb:v1,2779,2168200697
yakuo0602/tacc-ubuntu-champ:version6,2779,2165414831
yakuo0602/tacc-ubuntu-champ:version4,2759,1605166373
yakuo0602/tacc-ubuntu-champ:version5,2759,2149204456
tacc/pyrandom:latest,2755,936300666
holms/mongodb-sync:latest,2745,616377550
tacck/ubuntu-14.04-ansible-1.7.2:0.1,2715,270015303
tacck/ubuntu-14.04-ansible-1.7.2:latest,2715,270015303
taccsciapps/ipython:latest,2664,650640061
taccaci/docker-ubuntu-vnc-desktop-application-base:0.5-alpha,2644,1291388294
taccsciapps/samtools:latest,2634,774874190
taccsciapps/jupyter-pyspark-ds:0.3,2632,
gzynda/tacc-stampede2-mpi:latest,2578,389311645
gzynda/tacc-stampede2-mpi:0.0.1,2578,389311645
taccsciapps/jupyteruser-sim:1.1,2532,3557996594
taccsciapps/jupyteruser-sim:1,2524,3064492732
sd2e/tacc-ml-jupyter:ubuntu16.04-cuda10-tf2.1-pt1.3,2449,5312182762
sd2e/tacc-ml-jupyter:ubuntu16.04-cuda9-tf1.14-pt1.3,2448,5169711077
tacck/php-pdo-mysql:5.6,2423,491366723
taccsciapps/fastqc:latest,2416,809302183
tacc/locust_load_tests:latest,2393,560071495
enho/tacc-ml:ppc64le-ubuntu16.04-cuda10-tf1.15-pt1.2,2373,13182548930
prithuls/tacc:latest,2345,10650610933
wangyinz/tacc-ubuntu18-mvapich2.3psm2:latest,2337,512948874
taccwma/frontera-cms:d7b7407,2336,1827601706
taccwma/example-cms:90ae8dbd,2335,1828374343
taccwma/example-cms:650f07b7,2335,1828374342
taccwma/example-cms:e9d4410c,2335,1828374342
taccwma/ptdatax-cms:1f03d950,2335,1828358998
taccwma/example-cms:2cdc59f8,2335,1828374791
taccwma/frontera-cms:476895d,2335,1827387391
taccwma/ptdatax-cms:56ef4404,2335,1828358997
taccwma/ptdatax-cms:ba2ee5a0,2335,1828358792
taccwma/3dem-cms:01206e1,2334,1828408592
taccwma/demdata-cms:1033636b,2334,1827729294
taccwma/demdata-cms:cdd8b18d,2334,1827729355
taccwma/ecep-cms:2b3c96e3,2334,1827833459
taccwma/frontera-cms:01206e1,2334,1828307789
taccwma/frontera-cms:f8dcdc9,2334,1828506147
taccwma/utrc-cms:f8dcdc9,2334,1828493765
taccwma/3dem-cms:latest,2334,1828291536
taccwma/brainmap-cms:01206e1,2334,1828402968
taccwma/demdata-cms:fd5947af,2334,1827729987
taccwma/epoc-cms:01206e1,2334,1828404080
taccwma/frontera-cms:ab5fec8,2334,1828503844
taccwma/utrc-cms:ab5fec8,2334,1828373799
taccwma/3dem-cms:40d5e89,2334,1828291536
taccwma/brainmap-cms:latest,2334,1828278964
taccwma/core-cms:01206e1,2334,1828145977
taccwma/demdata-cms:6c1545a2,2334,1827729294
taccwma/protx-cms:5d26e2b,2334,1829617525
taccwma/core-cms:9d388ff,2331,1940784411
taccwma/matcssi-cms:8912a691,2331,1940959465
taccwma/a2cps-cms:8912a691,2331,1940975008
taccwma/core-cms:5473db7,2331,1940910307
taccwma/core-cms:8a56b9d,2331,1940800790
taccwma/matcssi-cms:55484274,2331,1940959465
taccwma/core-cms:775749a,2331,1940798624
taccwma/lccf-tacc:5473db7,2330,1941418234
taccwma/sciviscolor-cms:5473db7,2330,1941528774
taccwma/texascale-cms:5473db7,2330,1941571635
taccwma/protx-cms:5473db7,2330,1941410498
taccwma/a2cps-cms:55484274,2320,1940975008
taccwma/tapis-project-org:latest,2319,1438574431
taccwma/lccf-tacc:latest,2304,1438573366
taccwma/tup-cms:38934a4,2302,1455932022
clos21/taccjm:latest,2294,1001361735
clos21/taccjm:0.0.4,2294,1001361735
taccsciapps/picard:latest,2289,602280414
taccdash/democratizingdata-api:2.0.0,2274,1087310637
taccdash/democratizingdata-api:release-1.5.0,2274,1087297725
taccdash/democratizingdata-api:pprd,2274,1087299656
tacc/julia:latest,2269,592074147
taccdash/democratizingdata-api:dev,2267,1154012117
taccdash/democratizingdata-api:latest,2267,1154012119
taccwma/colormovestacc:5f38bfe,2248,994515905
taccwma/colormovestacc:8a11548,2248,994838720
taccwma/colormovestacc:9d3dd95,2248,994629439
taccwma/colormovestacc:latest,2248,994629439
taccwma/colormovestacc:45a508d,2248,996123064
